Name,API_Name,Instance_Memory,vCPUs,GiB_of_Memory_per_vCPU,GPUs,Instance_Storage,On_Demand,Linux_Reserved_cost,Windows_Reserved_Cost,Windows_Spot_Cost,Service_Provider
D96as v6,D96as v6,384.0 GiB,96 vCPUs,4.00 GiB/vCPU,0,0,$8.3810 hourly,unavailable,unavailable,$2.0953 hourly,Microsoft Azure
HX176-144rs,HX176-144rs,1300.0 GiB,176 vCPUs,7.39 GiB/vCPU,0,3600,$8.6400 hourly,$6.4799 hourly,$14.5759 hourly,$4.1840 hourly,Microsoft Azure
HX176rs,HX176rs,1300.0 GiB,176 vCPUs,7.39 GiB/vCPU,0,3600,$8.6400 hourly,$6.4799 hourly,$14.5759 hourly,$4.1840 hourly,Microsoft Azure
Standard NC24rs v2,NC24rs v2,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X P100,2948,$9.1080 hourly,unavailable,unavailable,$1.1070 hourly,Microsoft Azure
Standard ND24rs,ND24rs,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X P40,2948,$9.1080 hourly,$5.8015 hourly,$6.9055 hourly,$1.0971 hourly,Microsoft Azure
E112ibs v5,E112ibs v5,672.0 GiB,112 vCPUs,6.00 GiB/vCPU,0,0,$9.1780 hourly,$5.4153 hourly,$10.5673 hourly,$1.4330 hourly,Microsoft Azure
M96s1 v3,M96s1 v3,974.0 GiB,96 vCPUs,10.15 GiB/vCPU,0,0,$9.3400 hourly,$5.4322 hourly,$9.8482 hourly,$3.4400 hourly,Microsoft Azure
E96as v6,E96as v6,672.0 GiB,96 vCPUs,7.00 GiB/vCPU,0,0,$9.6190 hourly,unavailable,unavailable,$1.3008 hourly,Microsoft Azure
M96ds1 v3,M96ds1 v3,974.0 GiB,96 vCPUs,10.15 GiB/vCPU,0,400,$9.9300 hourly,$5.7753 hourly,$10.1913 hourly,$3.5850 hourly,Microsoft Azure
Standard M64ms v2,M64ms v2,1792.0 GiB,64 vCPUs,28.00 GiB/vCPU,0,0,$10.1300 hourly,$5.8913 hourly,$8.8353 hourly,$1.3073 hourly,Microsoft Azure
E112ibds v5,E112ibds v5,672.0 GiB,112 vCPUs,6.00 GiB/vCPU,0,3800,$10.2870 hourly,$6.0694 hourly,$11.2214 hourly,$1.5439 hourly,Microsoft Azure
Standard M64m,M64m,1792.0 GiB,64 vCPUs,28.00 GiB/vCPU,0,7168,$10.3370 hourly,$5.9442 hourly,$8.8882 hourly,$1.4641 hourly,Microsoft Azure
Standard M64ms,M64ms,1792.0 GiB,64 vCPUs,28.00 GiB/vCPU,0,2048,$10.3370 hourly,$5.9442 hourly,$8.8882 hourly,$1.4641 hourly,Microsoft Azure
Standard M64dms v2,M64dms v2,1792.0 GiB,64 vCPUs,28.00 GiB/vCPU,0,2048,$10.3400 hourly,$6.0138 hourly,$8.9578 hourly,$1.3284 hourly,Microsoft Azure
Standard NC24s v3,NC24s v3,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X V100,2948,$12.2400 hourly,$7.7969 hourly,$8.9009 hourly,$3.3814 hourly,Microsoft Azure
M96s2 v3,M96s2 v3,1946.0 GiB,96 vCPUs,20.27 GiB/vCPU,0,0,$12.4500 hourly,$7.2409 hourly,$11.6569 hourly,$4.2175 hourly,Microsoft Azure
Standard M128s v2,M128s v2,2048.0 GiB,128 vCPUs,16.00 GiB/vCPU,0,0,$12.9190 hourly,$7.5138 hourly,$13.4018 hourly,$1.8807 hourly,Microsoft Azure
M96ds2 v3,M96ds2 v3,1946.0 GiB,96 vCPUs,20.27 GiB/vCPU,0,400,$13.2300 hourly,$7.6945 hourly,$12.1105 hourly,$3.3075 hourly,Microsoft Azure
Standard M128,M128-32ms,3800.0 GiB,128 vCPUs,29.69 GiB/vCPU,0,4096,$13.3380 hourly,$7.6703 hourly,$13.5583 hourly,$1.9226 hourly,Microsoft Azure
Standard M128s,M128s,2048.0 GiB,128 vCPUs,16.00 GiB/vCPU,0,4096,$13.3380 hourly,$7.6703 hourly,$13.5583 hourly,$1.9226 hourly,Microsoft Azure
Standard M128ds v2,M128ds v2,2048.0 GiB,128 vCPUs,16.00 GiB/vCPU,0,4096,$13.3400 hourly,$7.7586 hourly,$13.6466 hourly,$1.9228 hourly,Microsoft Azure
Standard NC24rs v3,NC24rs v3,448.0 GiB,24 vCPUs,18.67 GiB/vCPU,4X V100,2948,$13.4600 hourly,$8.5766 hourly,$9.6806 hourly,$3.6895 hourly,Microsoft Azure
